DATA LENGTH(steps) :
1823
STEP LENGTH(sec) :
0.010000

PCz,         PEL_Q0,      PEL_Qx,      PEL_Qy,      PEL_Qz,      WST,         RSP,         RSR,         RSY,         REP,         REY,         LSP,         LSR,         LSY,         LEP,         LEY
0.621000     0.999939     -0.002452    -0.009471    -0.005079    -0.023816    0.002757     -0.456663    0.457678     -0.654496    -0.026934    0.029967     0.422426     -0.453583    -0.606306    -0.002005   
0.621000     0.999937     -0.002472    -0.009698    -0.005090    -0.023513    -0.004434    -0.460476    0.456136     -0.661078    -0.028033    0.022220     0.424773     -0.453370    -0.612830    -0.004965   
0.621000     0.999935     -0.002491    -0.009928    -0.005091    -0.023209    -0.012116    -0.464579    0.454538     -0.667980    -0.028957    0.013789     0.427365     -0.453080    -0.619661    -0.008360   
0.621000     0.999932     -0.002509    -0.010161    -0.005081    -0.022903    -0.020314    -0.468981    0.452896     -0.675223    -0.029677    0.004661     0.430206     -0.452713    -0.626814    -0.012132   
0.621000     0.999930     -0.002524    -0.010398    -0.005062    -0.022598    -0.029052    -0.473691    0.451220     -0.682830    -0.030171    -0.005170    0.433296     -0.452265    -0.634309    -0.016209   
0.621000     0.999928     -0.002538    -0.010640    -0.005032    -0.022294    -0.038346    -0.478713    0.449521     -0.690820    -0.030436    -0.015707    0.436632     -0.451746    -0.642153    -0.020506   
0.621000     0.999925     -0.002550    -0.010885    -0.004993    -0.021993    -0.048213    -0.484049    0.447813     -0.699207    -0.030480    -0.026948    0.440209     -0.451164    -0.650357    -0.024929   
0.621000     0.999922     -0.002560    -0.011135    -0.004945    -0.021695    -0.058666    -0.489696    0.446111     -0.708005    -0.030324    -0.038886    0.444021     -0.450534    -0.658928    -0.029389   
0.621000     0.999920     -0.002568    -0.011390    -0.004887    -0.021401    -0.069716    -0.495650    0.444436     -0.717216    -0.029998    -0.051513    0.448057     -0.449873    -0.667864    -0.033802   
0.621000     0.999917     -0.002573    -0.011650    -0.004820    -0.021113    -0.081371    -0.501903    0.442798     -0.726842    -0.029543    -0.064814    0.452307     -0.449200    -0.677163    -0.038094   
0.621000     0.999914     -0.002577    -0.011915    -0.004744    -0.020829    -0.093636    -0.508443    0.441219     -0.736874    -0.028996    -0.078777    0.456755     -0.448542    -0.686815    -0.042205   
0.621000     0.999912     -0.002577    -0.012185    -0.004660    -0.020553    -0.106515    -0.515256    0.439714     -0.747299    -0.028411    -0.093382    0.461385     -0.447918    -0.696809    -0.046093   
0.621000     0.999909     -0.002576    -0.012459    -0.004568    -0.020283    -0.120010    -0.522323    0.438298     -0.758097    -0.027835    -0.108613    0.466181     -0.447359    -0.707122    -0.049734   
0.621000     0.999906     -0.002571    -0.012739    -0.004468    -0.020020    -0.134121    -0.529624    0.436980     -0.769247    -0.027317    -0.124451    0.471123     -0.446888    -0.717733    -0.053126   
0.621000     0.999902     -0.002563    -0.013024    -0.004360    -0.019765    -0.148844    -0.537137    0.435778     -0.780720    -0.026913    -0.140874    0.476190     -0.446533    -0.728615    -0.056276   
0.621000     0.999899     -0.002553    -0.013313    -0.004246    -0.019516    -0.164173    -0.544836    0.434699     -0.792487    -0.026674    -0.157865    0.481358     -0.446316    -0.739733    -0.059214   
0.621000     0.999896     -0.002540    -0.013607    -0.004125    -0.019276    -0.180103    -0.552695    0.433756     -0.804518    -0.026655    -0.175401    0.486607     -0.446258    -0.751057    -0.061973   
0.621000     0.999892     -0.002524    -0.013905    -0.003998    -0.019041    -0.196621    -0.560686    0.432953     -0.816782    -0.026904    -0.193463    0.491910     -0.446377    -0.762549    -0.064594   
0.621000     0.999888     -0.002505    -0.014207    -0.003866    -0.018814    -0.213717    -0.568779    0.432303     -0.829247    -0.027470    -0.212029    0.497243     -0.446686    -0.774172    -0.067118   
0.621000     0.999885     -0.002483    -0.014513    -0.003727    -0.018594    -0.231376    -0.576945    0.431809     -0.841884    -0.028389    -0.231080    0.502582     -0.447199    -0.785891    -0.069586   
0.621000     0.999881     -0.002458    -0.014821    -0.003584    -0.018379    -0.249580    -0.585154    0.431476     -0.854666    -0.029683    -0.250590    0.507902     -0.447917    -0.797673    -0.072030   
0.621000     0.999877     -0.002431    -0.015132    -0.003436    -0.018170    -0.268311    -0.593378    0.431307     -0.867568    -0.031365    -0.270542    0.513175     -0.448847    -0.809483    -0.074477   
0.621000     0.999872     -0.002401    -0.015445    -0.003283    -0.017966    -0.287547    -0.601585    0.431300     -0.880567    -0.033425    -0.290910    0.518381     -0.449988    -0.821296    -0.076947   
0.621000     0.999868     -0.002368    -0.015760    -0.003127    -0.017767    -0.307268    -0.609749    0.431456     -0.893641    -0.035824    -0.311667    0.523496     -0.451340    -0.833086    -0.079449   
0.621000     0.999864     -0.002333    -0.016075    -0.002967    -0.017573    -0.327448    -0.617845    0.431771     -0.906772    -0.038513    -0.332791    0.528500     -0.452900    -0.844834    -0.081989   
0.621000     0.999859     -0.002296    -0.016391    -0.002803    -0.017382    -0.348060    -0.625846    0.432235     -0.919948    -0.041409    -0.354251    0.533371     -0.454659    -0.856526    -0.084568   
0.621000     0.999854     -0.002256    -0.016705    -0.002637    -0.017194    -0.369079    -0.633732    0.432846     -0.933154    -0.044416    -0.376021    0.538094     -0.456614    -0.868152    -0.087178   
0.621000     0.999850     -0.002215    -0.017019    -0.002467    -0.017009    -0.390475    -0.641484    0.433595     -0.946383    -0.047425    -0.398069    0.542655     -0.458760    -0.879709    -0.089809   
0.621000     0.999845     -0.002172    -0.017330    -0.002295    -0.016826    -0.412221    -0.649084    0.434480     -0.959626    -0.050314    -0.420362    0.547041     -0.461084    -0.891203    -0.092445   
0.621000     0.999840     -0.002127    -0.017639    -0.002121    -0.016645    -0.434285    -0.656519    0.435493     -0.972883    -0.052966    -0.442867    0.551242     -0.463581    -0.902638    -0.095071   
0.621000     0.999835     -0.002080    -0.017944    -0.001945    -0.016466    -0.456638    -0.663775    0.436635     -0.986147    -0.055267    -0.465551    0.555252     -0.466244    -0.914028    -0.097656   
0.621000     0.999830     -0.002033    -0.018244    -0.001767    -0.016288    -0.479246    -0.670845    0.437902     -0.999424    -0.057117    -0.488376    0.559066     -0.469063    -0.925391    -0.100177   
0.621000     0.999825     -0.001985    -0.018539    -0.001588    -0.016113    -0.502080    -0.677721    0.439301     -1.012717    -0.058433    -0.511312    0.562684     -0.472033    -0.936745    -0.102598   
0.621000     0.999820     -0.001936    -0.018827    -0.001407    -0.015939    -0.525107    -0.684399    0.440825     -1.026034    -0.059149    -0.534320    0.566107     -0.475145    -0.948114    -0.104884   
0.621000     0.999815     -0.001887    -0.019108    -0.001226    -0.015767    -0.548295    -0.690877    0.442485     -1.039383    -0.059223    -0.557368    0.569338     -0.478393    -0.959521    -0.107003   
0.621000     0.999810     -0.001837    -0.019382    -0.001043    -0.015597    -0.571614    -0.697156    0.444284     -1.052774    -0.058639    -0.580421    0.572381     -0.481767    -0.970993    -0.108918   
0.621000     0.999805     -0.001787    -0.019646    -0.000861    -0.015428    -0.595037    -0.703239    0.446230     -1.066217    -0.057398    -0.603450    0.575244     -0.485265    -0.982550    -0.110602   
0.621000     0.999800     -0.001737    -0.019900    -0.000677    -0.015261    -0.618534    -0.709128    0.448325     -1.079728    -0.055524    -0.626424    0.577933     -0.488879    -0.994218    -0.112031   
0.621000     0.999796     -0.001688    -0.020142    -0.000494    -0.015098    -0.642078    -0.714827    0.450578     -1.093314    -0.053057    -0.649316    0.580459     -0.492601    -1.006016    -0.113191   
0.621000     0.999791     -0.001638    -0.020373    -0.000310    -0.014937    -0.665649    -0.720344    0.452999     -1.106984    -0.050051    -0.672103    0.582828     -0.496428    -1.017962    -0.114074   
0.621000     0.999787     -0.001589    -0.020591    -0.000127    -0.014780    -0.689225    -0.725686    0.455591     -1.120749    -0.046568    -0.694762    0.585050     -0.500351    -1.030072    -0.114686   
0.621000     0.999783     -0.001540    -0.020795    0.000056     -0.014628    -0.712790    -0.730860    0.458370     -1.134608    -0.042681    -0.717274    0.587135     -0.504364    -1.042357    -0.115043   
0.621000     0.999779     -0.001491    -0.020983    0.000238     -0.014479    -0.736329    -0.735876    0.461342     -1.148563    -0.038456    -0.739627    0.589091     -0.508461    -1.054827    -0.115167   
0.621000     0.999775     -0.001443    -0.021155    0.000420     -0.014336    -0.759830    -0.740742    0.464515     -1.162614    -0.033961    -0.761808    0.590926     -0.512639    -1.067485    -0.115093   
0.621000     0.999772     -0.001396    -0.021310    0.000600     -0.014199    -0.783289    -0.745465    0.467902     -1.176749    -0.029249    -0.783811    0.592649     -0.516889    -1.080330    -0.114874   
0.621000     0.999769     -0.001349    -0.021447    0.000779     -0.014068    -0.806699    -0.750056    0.471517     -1.190958    -0.024369    -0.805632    0.594267     -0.521204    -1.093357    -0.114568   
0.621000     0.999766     -0.001303    -0.021563    0.000957     -0.013946    -0.830059    -0.754519    0.475367     -1.205223    -0.019342    -0.827273    0.595787     -0.525581    -1.106554    -0.114251   
0.621000     0.999764     -0.001257    -0.021659    0.001133     -0.013831    -0.853369    -0.758863    0.479468     -1.219523    -0.014186    -0.848737    0.597216     -0.530012    -1.119909    -0.114008   
0.621000     0.999762     -0.001212    -0.021733    0.001307     -0.013724    -0.876632    -0.763089    0.483828     -1.233828    -0.008893    -0.870033    0.598557     -0.534493    -1.133393    -0.113938   
0.621000     0.999761     -0.001168    -0.021784    0.001479     -0.013629    -0.899852    -0.767198    0.488456     -1.248110    -0.003441    -0.891172    0.599820     -0.539020    -1.146981    -0.114153   
0.621000     0.999760     -0.001124    -0.021810    0.001649     -0.013545    -0.923032    -0.771190    0.493359     -1.262333    0.002196     -0.912167    0.601006     -0.543592    -1.160640    -0.114767   
0.621000     0.999760     -0.001079    -0.021811    0.001816     -0.013472    -0.946179    -0.775065    0.498541     -1.276461    0.008063     -0.933035    0.602119     -0.548205    -1.174335    -0.115899   
0.621000     0.999760     -0.001035    -0.021784    0.001981     -0.013413    -0.969295    -0.778816    0.504008     -1.290457    0.014200     -0.953791    0.603166     -0.552862    -1.188026    -0.117672   
0.621000     0.999761     -0.000992    -0.021728    0.002143     -0.013368    -0.992385    -0.782440    0.509757     -1.304284    0.020647     -0.974453    0.604148     -0.557563    -1.201672    -0.120202   
0.621000     0.999763     -0.000948    -0.021643    0.002302     -0.013338    -1.015446    -0.785930    0.515783     -1.317912    0.027442     -0.995037    0.605068     -0.562310    -1.215233    -0.123599   
0.621000     0.999765     -0.000904    -0.021526    0.002458     -0.013324    -1.038475    -0.789282    0.522081     -1.331312    0.034612     -1.015559    0.605927     -0.567108    -1.228669    -0.127963   
0.621000     0.999768     -0.000860    -0.021376    0.002610     -0.013326    -1.061466    -0.792487    0.528640     -1.344460    0.042180     -1.036032    0.606728     -0.571955    -1.241944    -0.133377   
0.621000     0.999771     -0.000816    -0.021191    0.002759     -0.013347    -1.084404    -0.795540    0.535449     -1.357337    0.050155     -1.056468    0.607471     -0.576856    -1.255022    -0.139915   
0.621000     0.999776     -0.000771    -0.020971    0.002904     -0.013387    -1.107275    -0.798436    0.542491     -1.369930    0.058544     -1.076876    0.608157     -0.581814    -1.267873    -0.147622   
0.621000     0.999781     -0.000726    -0.020712    0.003046     -0.013447    -1.130063    -0.801171    0.549755     -1.382230    0.067340     -1.097261    0.608786     -0.586823    -1.280475    -0.156517   
0.621000     0.999786     -0.000681    -0.020413    0.003183     -0.013527    -1.152743    -0.803739    0.557218     -1.394233    0.076535     -1.117621    0.609357     -0.591880    -1.292811    -0.166588   
0.621000     0.999793     -0.000634    -0.020073    0.003317     -0.013628    -1.175286    -0.806138    0.564860     -1.405941    0.086115     -1.137954    0.609872     -0.596982    -1.304874    -0.177777   
0.621000     0.999800     -0.000587    -0.019689    0.003446     -0.013752    -1.197666    -0.808367    0.572661     -1.417361    0.096063     -1.158252    0.610327     -0.602123    -1.316659    -0.189987   
0.621000     0.999808     -0.000538    -0.019260    0.003572     -0.013899    -1.219853    -0.810421    0.580600     -1.428501    0.106356     -1.178500    0.610726     -0.607292    -1.328176    -0.203070   
0.621000     0.999817     -0.000490    -0.018784    0.003692     -0.014070    -1.241810    -0.812301    0.588650     -1.439375    0.116965     -1.198680    0.611066     -0.612481    -1.339436    -0.216842   
0.621000     0.999826     -0.000438    -0.018258    0.003809     -0.014264    -1.263505    -0.814007    0.596793     -1.449996    0.127854     -1.218768    0.611346     -0.617681    -1.350454    -0.231088   
0.621000     0.999836     -0.000387    -0.017681    0.003922     -0.014483    -1.284899    -0.815542    0.605002     -1.460386    0.138971     -1.238737    0.611567     -0.622883    -1.361250    -0.245562   
0.621000     0.999846     -0.000334    -0.017051    0.004030     -0.014727    -1.305956    -0.816905    0.613258     -1.470556    0.150264     -1.258551    0.611729     -0.628074    -1.371842    -0.260019   
0.621000     0.999858     -0.000279    -0.016364    0.004133     -0.014994    -1.326641    -0.818103    0.621537     -1.480528    0.161659     -1.278176    0.611830     -0.633243    -1.382249    -0.274219   
0.621000     0.999869     -0.000222    -0.015620    0.004233     -0.015287    -1.346911    -0.819135    0.629817     -1.490314    0.173077     -1.297570    0.611872     -0.638379    -1.392481    -0.287937   
0.621000     0.999881     -0.000164    -0.014816    0.004327     -0.015603    -1.366736    -0.820008    0.638084     -1.499924    0.184434     -1.316691    0.611852     -0.643468    -1.402546    -0.300983   
